"College","CDS_loc","Name_Table_Loc"
"FAILED","cds_cleaned/www.astate.edu_a_irp_files_cds_CDS_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.asub.edu_images_uploads_20230306_2022-academic-catalog-master-09262022-14489.pdf","DNE"
"FAILED","cds_cleaned/www.asumidsouth.edu_wp-content_uploads_2022_08_College_Catalog_2022-23-1.pdf","DNE"
"Arkansas Tech University","cds_cleaned/www.atu.edu_ir_docs_cds_CDS_fall_2022.pdf","data_tables/name_tables/arkansas_tech_university.csv"
"FAILED","cds_cleaned/www.auburn.edu_administration_campus-safety_AU-2022-ASFSR-2022-10-01.pdf","DNE"
"FAILED","cds_cleaned/www.auburn.edu_administration_campus-safety_pdf_AU-ASFSR-Final.pdf","DNE"
"Augustana College (IL)","cds_cleaned/www.augustana.edu_files_2022-12_CDS_2022-23.pdf","data_tables/name_tables/augustana_college_(il).csv"
"FAILED","cds_cleaned/www.aum.edu_wp-content_uploads_2022_08_CDS_2021-2022-1.pdf","DNE"
"Austin College","cds_cleaned/www.austincollege.edu_wp-content_uploads_2023_02_CDS-2022-2023-2023-02-03.pdf","data_tables/name_tables/austin_college.csv"
"FAILED","cds_cleaned/www.azwestern.edu_sites_default_files_awc_course-catalog_2022-2023%20Course%20Catalog.pdf","DNE"
"FAILED","cds_cleaned/www.bakeru.edu_images_pdf_Res_workingadult_2022_23_spgs_gsoe_catalog.pdf","DNE"
"FAILED","cds_cleaned/www.baptistcollege.edu_assets_2746_current_catalog.pdf","DNE"
"FAILED","cds_cleaned/www.barry.edu_media_2u0hynfa_buspm-student-handbook-august-2023.pdf","DNE"
"Boston College","cds_cleaned/www.bc.edu_content_dam_bc1_offices_irp_ir_cds_Boston_College_CDS_2021-2022_Final.pdf","data_tables/name_tables/boston_college.csv"
"Belmont University","cds_cleaned/www.belmont.edu_oair__files_CDS_2021-2022.pdf","data_tables/name_tables/belmont_university.csv"
"FAILED","cds_cleaned/www.benedictine.edu_Assets_uploads_files_academics_benedictine-college-course-catalog.pdf","DNE"
"FAILED","cds_cleaned/www.berry.edu_academics__assets_fact-book.pdf","DNE"
"FAILED","cds_cleaned/www.bethelks.edu_sites_default_files_2021-09_Attachment%202%20-%2021%20April%208-10%20Board%20of%20Directors%20Spring%202021%20Meeting%20-%20Minutes-DRAFTgg.pdf","DNE"
"FAILED","cds_cleaned/www.bhclr.edu_wp-content_uploads_2022_12_2022-2023-BHCLR-Catalog-posted-Dec-14-2022.pdf","DNE"
"Binghamton University","cds_cleaned/www.binghamton.edu_offices_oir_upload_data_cds_2021_2022.pdf","data_tables/name_tables/binghamton_university.csv"
"FAILED","cds_cleaned/www.bishop.edu_assets_uploads_pages_Nursing-Student-Handbook_10.21_Final.pdf","DNE"
"FAILED","cds_cleaned/www.bowdoin.edu_ir_pdf_common-data-set-2021-22.pdf","DNE"
"FAILED","cds_cleaned/www.bpc.edu_wp-content_uploads_2022_11_2022-2023-Academic-Catalog-Revised-11-3-2022.pdf","DNE"
"Bradley University","cds_cleaned/www.bradley.edu_offices_academic_institutionaleffectiveness_assets_documents_cds_2022-2023.pdf","data_tables/name_tables/bradley_university.csv"
"FAILED","cds_cleaned/www.brandeis.edu_institutional-research_docs_cds-2022-23.pdf","DNE"
"FAILED","cds_cleaned/www.brescia.edu_wp-content_uploads_22-23-Catalog-002.pdf","DNE"
"FAILED","cds_cleaned/www.bridgeport.edu_files_docs_academics_catalogs_catalog-2022-2023.pdf","DNE"
"Bryn Mawr College","cds_cleaned/www.brynmawr.edu_sites_default_files_media_documents_2023-03_CDS_2022-2023-2.pdf","data_tables/name_tables/bryn_mawr_college.csv"
"FAILED","cds_cleaned/www.bsc.edu_ire_images_CDS-2022-2023.pdf","DNE"
"Boston University","cds_cleaned/www.bu.edu_asir_files_2023_03_cds-2023.pdf","data_tables/name_tables/boston_university.csv"
"Bucknell University","cds_cleaned/www.bucknell.edu_sites_default_files_institutional-research_cds_2021-2022.pdf","data_tables/name_tables/bucknell_university.csv"
"Bucknell University","cds_cleaned/www.bucknell.edu_sites_default_files_institutional-research_commondataset2022-23.pdf","data_tables/name_tables/bucknell_university.csv"
"FAILED","cds_cleaned/www.buffalo.edu_content_dam_www_provost_files_oia_Common-Data-Sets_CDS_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.butler.edu_academics_wp-content_uploads_sites_3_2022_12_CDS_2022-2023-Section-B.-Enrollment-and-Persistance.pdf","DNE"
"Baldwin Wallace University","cds_cleaned/www.bw.edu_assets_offices_institutional-research_common-data-set-2021-22.pdf","data_tables/name_tables/baldwin_wallace_university.csv"
"FAILED","cds_cleaned/www.cacc.edu_admissions_catalogs_2022-2023_2022-2023%20CACC%20Catalog.pdf","DNE"
"FAILED","cds_cleaned/www.calchristiancollege.edu_wp-content_uploads_2022_08_2022-2023-College-Catalog.pdf","DNE"
"FAILED","cds_cleaned/www.calstatela.edu_sites_default_files_student_development_and_career_services_22-23.pdf","DNE"
"FAILED","cds_cleaned/www.cau.edu_research-sponsored-programs_2021-CAU-Chemical-Hygiene-Plan-FINAL-APRIL-27-2021-00000002.pdf","DNE"
"FAILED","cds_cleaned/www.cccua.edu_about-ua-cossatot_BOV_May1_2023.pdf","DNE"
"College of Coastal Georgia","cds_cleaned/www.ccga.edu_wp-content_uploads_2023_08_Common-Data-Set.pdf","data_tables/name_tables/college_of_coastal_georgia.csv"
"FAILED","cds_cleaned/www.cdrewu.edu_wp-content_uploads_2023_09_Nursing-Student-Handbook-2022-2023-Fall-2022a.pdf","DNE"
"FAILED","cds_cleaned/www.centenary.edu_files_resources_2022-2023-course-catalogue-clean-draft-final-w-boo.pdf","DNE"
"FAILED","cds_cleaned/www.chapman.edu_campus-services_institutional-research__files_cds_cds_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.citadel.edu_institutional-research_wp-content_uploads_sites_75_CDS_2022-2023_Final.pdf","DNE"
"FAILED","cds_cleaned/www.clayton.edu_graduate_docs_msnstudenthandbook20222023.pdf","DNE"
"Claremont McKenna College","cds_cleaned/www.cmc.edu_sites_default_files_CDS_2022-2023.pdf","data_tables/name_tables/claremont_mckenna_college.csv"
"FAILED","cds_cleaned/www.cmu.edu_ira_CDS_pdf_cds_2022_23_common-data-set-2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.coastalalabama.edu_uploads_06.06FinancialAid.pdf","DNE"
"FAILED","cds_cleaned/www.coloradocollege.edu_offices_ipe_documents_CDS_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.coloradomesa.edu_institutional-research_documents_common-data-set_cds2022-2023.pdf","DNE"
"Connecticut College","cds_cleaned/www.conncoll.edu_media_Common-Data-Set-2022-23.pdf","data_tables/name_tables/connecticut_college.csv"
"Bethune-Cookman University","cds_cleaned/www.cookman.edu_ie__files_cds_2022-2023.pdf","data_tables/name_tables/bethune-cookman_university.csv"
"FAILED","cds_cleaned/www.cornellcollege.edu_institutional-research_pdf_Common-Data-Set-2022-23.pdf","DNE"
"California State Polytechnic University, Pomona","cds_cleaned/www.cpp.edu_data_documents_cpp-facts_cds2022.pdf","data_tables/name_tables/california_state_polytechnic_university,_pomona.csv"
"FAILED","cds_cleaned/www.csu.edu_catalogs_documents_Graduate_Catalog2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.csub.edu_nsme__files_NSME-Impact-Fall-2023.pdf","DNE"
"FAILED","cds_cleaned/www.csuchico.edu_ir__assets_documents_cds-2023.pdf","DNE"
"California State University, Dominguez Hills","cds_cleaned/www.csudh.edu_Assets_csudh-sites_uepa_docs_student-data_CDS_2022-2023%20FINAL.pdf","data_tables/name_tables/california_state_university,_dominguez_hills.csv"
"FAILED","cds_cleaned/www.csueastbay.edu_class_assessment_annual-report-slhs-fall-2022-10-03-2022-final.pdf","DNE"
"FAILED","cds_cleaned/www.csulb.edu_sites_default_files_2023_documents_CDS_2022-2023.pdf","DNE"
"FAILED","cds_cleaned/www.csum.edu_accreditation_media_wascuc2023_interim_report_appendices.pdf","DNE"
"FAILED","cds_cleaned/www.csun.edu_sites_default_files_2022-23%20Campus%20Operating%20Budget_web.pdf","DNE"
"FAILED","cds_cleaned/www.csupueblo.edu_assessment-and-student-learning__doc_2022_sociology-assessment-report-2022.pdf","DNE"
"California State University, Sacramento","cds_cleaned/www.csus.edu_president_institutional-research-effectiveness-planning_common-data-set_cds_2021-2022-final.pdf","data_tables/name_tables/california_state_university,_sacramento.csv"
"California State University, San Bernardino","cds_cleaned/www.csusb.edu_sites_default_files_CDS_2022-2023_1.pdf","data_tables/name_tables/california_state_university,_san_bernardino.csv"
"California State University, Stanislaus","cds_cleaned/www.csustan.edu_sites_default_files_2023-04_cds_2022-2023.pdf","data_tables/name_tables/california_state_university,_stanislaus.csv"
"Concordia University Chicago","cds_cleaned/www.cuchicago.edu_contentassets_93f2ca3c48f74ff084ea1bee21364e9a_cuc-cds-2022-2023completeallsections_2-22-2023.pdf","data_tables/name_tables/concordia_university_chicago.csv"
"FAILED","cds_cleaned/www.cui.edu_portals_0_uploadedfiles_StudentLife_Registrar_2022-23-CUI-Catalog_5.24.22_FINAL.pdf","DNE"
"FAILED","cds_cleaned/www.cv.edu_wp-content_uploads_2022_08_2022-2023-COLLEGE-CATALOG-AND-STUDENT-HANDBOOK.pdf","DNE"
"FAILED","cds_cleaned/www.dbq.edu_media_Academics_Registrar_UD-Undergraduate-Catalog-2022-2023_FINAL-8.11.22.pdf","DNE"
"FAILED","cds_cleaned/www.depauw.edu_files_resources_cds-c-2223-3.pdf","DNE"
"Dickinson College","cds_cleaned/www.dickinson.edu_download_downloads_id_14573_cds_2022-2023.pdf","data_tables/name_tables/dickinson_college.csv"
"FAILED","cds_cleaned/www.dinecollege.edu_wp-content_uploads_2022_07_22-23-DCCatalogMaster-v2_compressed.pdf","DNE"
"FAILED","cds_cleaned/www.disd.edu_wp-content_uploads_2022_04_DISD-Catalog-2020-2022-updated_04_26_22.pdf","DNE"
"Dominican University","cds_cleaned/www.dom.edu_sites_default_files_2023-09_CDS_2022-2023_FINAL_2_28_23.pdf","data_tables/name_tables/dominican_university.csv"
"Dominican University of California","cds_cleaned/www.dominican.edu_sites_default_files_2021-12_CDS_2021-2022_Dominican%20University%20of%20California.pdf","data_tables/name_tables/dominican_university_of_california.csv"
"Drake University","cds_cleaned/www.drake.edu_media_departmentsoffices_institutionalresearch_databooks_2022databook_Drake%20University_CDS_2022-2023%20NEW.pdf","data_tables/name_tables/drake_university.csv"
"University of Denver","cds_cleaned/www.du.edu_sites_default_files_2022-06_cds_2021.pdf","data_tables/name_tables/university_of_denver.csv"
"University of Denver","cds_cleaned/www.du.edu_sites_default_files_2023-05_CDS_2022.pdf","data_tables/name_tables/university_of_denver.csv"
"Duquesne University","cds_cleaned/www.duq.edu_documents_institutionalresearch_cds-2022-2023.pdf","data_tables/name_tables/duquesne_university.csv"
"FAILED","cds_cleaned/www.eac.edu_academics_catalogs_archived_catalog22-23.pdf","DNE"
"EASTERN UNIVERSITY","cds_cleaned/www.eastern.edu_sites_default_files_inline-files_2022_common_data_set.pdf","data_tables/name_tables/eastern_university.csv"
"FAILED","cds_cleaned/www.easternct.edu_planning-and-institutional-research__documents_cds2223c.pdf","DNE"
"FAILED","cds_cleaned/www.eiu.edu_acaffair_catalog_2022-23_2022.pdf","DNE"
"FAILED","cds_cleaned/www.elmhurst.edu_wp-content_uploads_2022_08_elmhurst-university-student-handbook-2022-2023.pdf","DNE"
