"College_Name","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest","UNITID","APPLCN","APPLCNM","APPLCNW","APPLCNAN","APPLCNUN","ADMSSN","ADMSSNM","ADMSSNW","ADMSSNAN","ADMSSNUN","ENRLT","ENRLM","ENRLW","ENRLAN","ENRLUN"
"clark university",1,3,1,2,3,1,2,2,2,1,0,1,0,0,1,2,1,3,1,165334,8787,3545,5242,NA,0,4422,1672,2750,NA,0,703,290,413,NA,0
"coastal carolina university",2,3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,3,0,218724,17161,7441,9587,133,0,13493,5609,7820,64,0,2662,1213,1449,0,0
"college of the holy cross",1,3,1,3,3,3,2,2,3,1,1,1,1,1,1,1,1,3,1,166124,7036,3368,3668,NA,0,2558,1177,1381,NA,0,903,406,497,NA,0
"concordia university chicago",NA,3,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,3,0,144351,4296,2049,2247,NA,0,3997,1879,2118,NA,0,267,161,106,NA,0
"connecticut college",3,3,1,2,2,2,2,2,3,1,1,1,1,1,2,2,2,3,1,128902,8744,3590,5154,NA,0,3533,1235,2298,NA,0,630,237,393,NA,0
"cornell university",2,3,1,3,3,1,3,3,3,1,1,1,1,0,1,1,1,NA,0,190415,69195,34671,34524,0,0,5168,2317,2851,NA,0,3491,1570,1921,NA,0
"dartmouth college",3,3,3,3,3,1,3,2,3,1,1,1,0,0,1,1,1,3,1,182670,28336,13323,15013,NA,0,1808,906,902,NA,0,1124,564,560,NA,0
"davidson college",1,1,1,2,3,0,2,2,3,NA,0,0,0,0,0,3,0,3,NA,198385,6479,3066,3413,0,0,1098,508,590,NA,0,542,249,293,NA,0
"dickinson college",1,3,1,2,3,2,3,3,3,1,1,2,2,0,2,2,2,3,3,212009,8261,3536,4693,32,0,2885,1103,1782,0,0,577,241,336,NA,0
"dominican university",2,3,1,1,1,1,1,1,1,0,1,NA,0,0,0,1,1,3,0,148496,5117,1606,3511,0,0,4581,1389,3192,NA,0,600,175,425,NA,0
"dominican university of california",2,3,1,3,1,1,2,2,3,0,0,0,0,0,0,2,2,NA,0,113698,1746,433,1313,0,0,1627,393,1234,NA,0,217,52,165,NA,0
"drake university",0,3,2,2,1,2,1,1,1,1,1,0,0,0,1,1,1,3,1,153269,8621,3881,4699,41,0,5796,2446,3340,10,0,733,296,437,0,0
"drexel university",3,3,3,2,2,1,1,1,2,1,1,0,0,0,0,1,1,3,1,212054,37040,17115,19389,536,0,29487,13403,15673,411,0,2935,1484,1393,58,0
"duke university",NA,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,NA,1,198419,50016,23211,26805,NA,0,3174,1437,1737,NA,0,1745,793,952,NA,0
"duquesne university",2,3,3,1,1,1,2,2,2,1,1,1,1,1,1,2,2,3,1,212106,12376,4399,7883,NA,94,10828,3808,6967,NA,53,1441,516,925,NA,0
"east carolina university",2,3,0,3,0,0,1,1,1,1,1,0,3,0,0,1,1,3,1,198464,21383,8158,13171,NA,54,19744,7402,12297,NA,45,3788,1562,2226,NA,0
"emmaus bible college",0,1,1,3,3,1,0,0,3,0,0,0,0,3,0,0,0,1,0,153302,70,27,43,NA,0,70,27,43,NA,0,43,16,27,NA,0
"fairfield university",1,3,1,3,3,2,2,2,2,2,1,1,0,0,1,2,2,3,2,129242,13359,5441,7918,NA,0,6971,2874,4097,NA,0,1328,551,777,NA,0
"fashion institute of technology",0,3,0,3,0,0,1,3,1,1,1,0,0,0,0,1,1,3,0,191126,4669,718,3951,0,0,2465,379,2086,NA,0,1343,238,1105,NA,0
"flagler college",0,3,2,2,2,0,1,0,1,2,1,2,0,0,0,1,1,2,1,133711,5416,1720,3656,40,0,4384,1325,3022,37,0,761,201,552,8,0
"florida institute of technology",1,3,3,1,1,1,1,0,1,0,1,0,0,0,0,0,1,NA,2,133881,13941,8024,5896,21,0,8974,5286,3680,8,0,778,494,284,0,0
"florida international university",3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,1,1,3,1,133951,17343,6980,10363,NA,0,11075,4369,6706,NA,0,4424,1877,2547,NA,0
"florida polytechnic university",2,3,3,2,2,1,2,1,2,0,0,0,0,0,0,1,1,3,1,482936,2779,2085,623,NA,71,1557,1182,375,NA,0,450,355,95,NA,0
"franklin w olin college of engineering",2,3,1,3,3,3,3,3,3,1,1,1,1,0,2,2,2,3,3,441982,862,646,216,NA,0,165,80,85,NA,0,75,43,32,NA,0
"georgia gwinnett college",1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,447689,5626,2315,3267,NA,44,5268,2146,3089,NA,33,2317,1030,1287,NA,0
"gettysburg college",2,3,2,3,3,2,2,2,2,1,1,1,0,0,0,2,1,3,1,212674,5796,2876,2920,NA,0,3264,1548,1716,NA,0,644,308,336,NA,0
"goucher college",1,3,1,2,2,1,2,2,1,1,1,1,1,0,1,2,1,3,1,162654,2946,1064,1882,NA,0,2364,800,1564,NA,0,269,80,189,NA,0
"governors state university",0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,145336,1865,801,1064,0,0,1072,440,632,NA,0,316,139,177,NA,0
"gustavus adolphus college",2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,173647,3781,1851,1930,NA,0,2794,1246,1548,NA,0,463,229,234,NA,0
"hampshire college",1,2,0,3,2,1,2,2,3,1,1,1,0,0,1,1,1,NA,1,166018,2090,720,1196,174,0,1440,438,843,159,0,228,69,113,46,0
"harvard university",0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,166027,61221,28024,33197,NA,0,1984,908,1076,NA,0,1646,740,906,NA,0
"haverford college",2,3,1,3,3,1,3,2,3,1,1,1,0,0,1,2,2,3,1,212911,5657,2569,3088,0,0,804,341,463,NA,0,362,149,213,NA,0
"hiram college",1,3,0,1,1,1,1,1,3,0,1,0,0,0,0,1,1,NA,3,203128,1896,1032,849,15,0,1766,954,798,14,0,192,107,84,1,0
"hollins university",1,3,1,2,2,1,1,1,1,1,1,1,1,0,0,1,1,2,1,232308,3275,0,3275,NA,0,2371,NA,2371,NA,0,210,NA,210,NA,0
"hope college",1,2,2,1,1,0,1,1,0,0,1,1,0,0,0,0,0,NA,0,170301,5152,2078,3073,1,0,4145,1556,2588,1,0,955,355,600,0,0
"howard university",1,3,1,2,2,0,1,1,2,1,1,0,0,0,0,1,1,NA,1,131520,19188,5882,12911,395,0,10253,2945,7042,266,0,2493,656,1837,0,0
"huntington university",2,3,1,2,1,0,1,1,2,1,1,0,0,1,0,1,1,NA,1,150941,1098,437,661,NA,0,851,340,511,NA,0,272,109,163,NA,0
"illinois institute of technology",2,3,1,1,2,1,1,1,1,1,1,0,0,0,0,1,1,3,1,145725,7243,4693,2548,NA,2,4450,2726,1722,NA,2,620,399,221,NA,0
"immaculata university",2,3,1,2,2,1,1,1,1,2,1,0,0,1,0,1,1,NA,1,213011,2188,691,1494,3,0,1526,440,1085,1,0,207,72,135,0,0
"kansas state university",0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155399,9706,4489,5217,NA,0,9234,4244,4990,NA,0,2909,1444,1465,NA,0
"kennesaw state university",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486840,21106,9559,11547,0,0,14320,6469,7851,NA,0,7024,3511,3513,NA,0
"knox college",2,3,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,3,1,146427,2987,1534,1453,NA,0,2190,1077,1113,NA,0,247,132,115,NA,0
"lake forest college",1,2,1,3,1,3,3,3,3,1,1,1,0,0,0,1,1,NA,1,146481,4665,2124,2541,0,0,2786,1149,1637,NA,0,445,187,258,NA,0
"lawrence university",3,3,1,2,1,2,2,3,3,1,1,1,0,0,1,1,1,3,1,239017,2943,1408,1535,0,0,2127,954,1173,NA,0,364,172,192,NA,0
"lewis clark state college",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,142328,3938,1567,2371,NA,0,3417,1350,2067,NA,0,496,217,279,NA,0
"lincoln university",1,3,3,0,0,1,1,1,1,0,0,1,1,0,0,1,1,NA,2,213598,6699,1979,4645,30,45,5400,1488,3888,0,24,401,130,271,NA,0
"lipscomb university",1,3,2,1,2,0,1,1,2,1,0,0,0,0,0,1,1,NA,0,219976,3705,1283,2422,NA,0,2635,911,1724,NA,0,699,261,438,NA,0
"loyola university chicago",1,3,1,2,2,1,2,1,2,1,1,1,1,0,0,2,2,3,2,146719,40909,13256,27647,6,0,32379,9967,22411,1,0,2864,828,2036,0,0
"lynn university",2,3,2,3,2,2,2,0,2,0,0,0,0,0,0,2,2,NA,1,132657,7843,3241,4602,NA,0,6283,2499,3784,NA,0,804,383,421,NA,0
"macalester college",1,3,1,2,2,1,2,1,2,1,1,1,1,0,1,1,1,NA,0,173902,8434,3455,4979,0,0,2397,911,1486,NA,0,552,213,339,NA,0
"marist college",1,3,1,1,2,0,1,1,2,1,0,1,0,0,1,1,1,NA,1,192819,10966,4275,6690,1,0,6892,2579,4312,1,0,1334,530,804,0,0
"marquette university",1,3,2,2,1,1,2,1,1,1,0,0,0,0,0,2,1,3,0,239105,15883,6908,8975,NA,0,13851,5943,7908,NA,0,1983,914,1069,NA,0
"messiah university",2,3,2,2,1,0,3,3,3,0,1,0,0,3,1,2,1,3,1,213996,2438,959,1479,NA,0,1936,763,1173,NA,0,587,248,339,NA,0
"michigan state university",1,3,1,3,1,1,2,2,2,1,1,2,1,0,0,1,1,2,2,171100,53341,24979,28362,NA,0,46914,21668,25246,NA,0,9829,4730,5099,NA,0
"michigan technological university",0,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,171128,7893,4746,3130,NA,17,7394,4428,2950,NA,16,1388,977,411,NA,0
"mount st mary s university",1,3,2,2,2,1,2,2,2,0,0,0,0,0,0,1,1,2,2,163462,4346,1914,2432,NA,0,3458,1530,1928,NA,0,459,218,241,NA,0
"murray state university",3,3,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,157401,10251,3616,6612,23,0,8609,2953,5651,5,0,1366,526,840,0,0
"north central college",0,3,0,1,1,1,2,2,3,1,1,0,0,0,0,3,1,NA,1,147660,5099,2544,2555,NA,0,3104,1495,1609,NA,0,483,253,230,NA,0
"northern arizona university",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,105330,44855,15462,29393,NA,0,35881,12139,23742,NA,0,5575,2100,3475,NA,0
"northwestern university",3,3,1,3,3,1,3,3,3,1,1,0,0,0,1,1,1,NA,1,147767,51261,23535,27725,1,0,3695,1652,2043,0,0,2038,919,1119,NA,0
"oakland university",0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,171571,11110,4067,6701,NA,342,10005,3652,6062,NA,291,2117,911,1206,NA,0
"oregon state university",1,3,1,2,1,0,1,2,2,0,0,0,0,0,0,2,2,2,1,209542,25651,11800,13851,NA,0,21169,9486,11683,NA,0,4513,2235,2278,NA,0
"pace university",2,2,1,3,2,1,1,1,1,0,1,0,0,0,0,1,1,3,0,194310,26613,7192,19421,0,0,22070,5621,16449,NA,0,2106,635,1471,NA,0
"pitzer college",1,3,0,3,2,1,2,2,3,1,1,1,1,0,1,2,1,3,1,121257,3500,1145,2127,228,0,644,231,365,48,0,309,129,159,21,0
"point park university",0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,215442,6033,1777,4238,1,17,4950,1328,3616,1,5,559,191,367,1,0
"presbyterian college",3,3,1,3,2,2,2,2,2,1,1,0,0,0,0,2,2,3,2,218539,3329,1712,1617,NA,0,1977,959,1018,NA,0,272,149,123,NA,0
"providence college",1,3,1,3,2,0,2,1,2,1,1,1,0,0,1,1,1,3,1,217402,11129,4659,6470,0,0,5874,2619,3255,NA,0,1156,537,619,NA,0
"purdue university fort wayne",3,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,151102,5853,2804,3049,NA,0,4721,2237,2484,NA,0,1210,629,581,NA,0
"queens university of charlotte",1,3,2,3,1,2,3,2,2,2,2,0,0,0,0,3,3,NA,1,199412,3154,977,2177,NA,0,2248,710,1538,NA,0,303,129,174,NA,0
"quinnipiac university",0,3,2,2,2,2,2,0,3,2,2,2,2,0,0,2,1,NA,2,130226,18668,7037,11631,NA,0,15641,5911,9730,NA,0,1605,636,969,NA,0
"radford university",1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,NA,1,233277,11442,4180,7262,NA,0,10680,3873,6807,NA,0,1226,474,752,NA,0
"ramapo college of new jersey",1,3,2,2,2,1,2,2,1,1,1,1,1,0,1,1,1,3,1,186201,7207,2835,4372,NA,0,5079,1988,3091,NA,0,850,334,516,NA,0
"rocky mountain college",1,3,1,2,2,1,1,1,1,1,1,0,0,0,0,1,1,2,3,180595,1458,610,848,0,0,1096,474,622,NA,0,261,134,127,NA,0
"rowan university",0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,184782,16903,7871,9032,NA,0,13006,5877,7129,NA,0,2585,1321,1264,NA,0
"saint anselm college",1,3,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,183239,3514,1525,1989,NA,0,2892,1217,1675,NA,0,528,218,310,NA,0
"saint mary s college of california",1,3,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,3,1,123554,3353,1446,1907,NA,0,2947,1245,1702,NA,0,445,203,242,NA,0
