"College","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest"
"University of Toledo",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University of West Florida",0,3,3,1,1,0,1,1,1,1,1,1,3,0,0,1,1,NA,1
"University of Wisconsin - Green Bay",0,3,3,1,1,1,3,1,1,1,0,0,0,0,1,1,1,3,2
"University of Wisconsin - La Crosse",3,3,1,2,1,1,2,1,1,1,1,1,1,0,1,2,1,3,2
"University of Wisconsin - Milwaukee",1,3,1,2,1,0,1,1,1,1,0,0,0,0,0,1,1,3,0
"University of Wisconsin - Whitewater",1,3,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,2,1
"Utica University",1,3,2,2,1,1,1,1,1,1,1,0,0,0,0,1,1,3,2
"Valdosta State University",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington & Jefferson College",1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
"Washington State University",0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,3,0
"Wayne State University",0,3,2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
"Wellesley College",2,3,1,2,3,0,2,2,3,1,1,1,1,0,1,1,1,3,1
"Wentworth Institute of Technology",0,2,1,2,1,0,1,1,1,1,1,0,0,0,1,1,1,2,1
"Wesleyan University",2,2,1,2,2,1,1,2,2,2,1,1,0,0,2,1,1,3,0
"West Chester University of Pennsylvania",1,3,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,3,0
"Western Oregon University",0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"Whitman College",1,3,1,3,2,1,2,2,2,1,1,1,1,1,1,1,1,NA,1
"Whittier College",1,3,1,3,3,2,2,2,3,1,1,1,1,0,1,2,1,NA,NA
"Winona Sate University",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Wright State University",0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Xavier University",1,3,1,2,2,0,2,1,2,0,0,0,0,0,0,1,1,NA,1
"Yeshiva University",0,3,3,3,2,3,2,2,0,0,0,0,0,0,0,1,1,3,1
